"filename","font_name","details"
"AmsterBrush italic.otf","Amster Brush Italic","This font was created using FontCreator 11.5 from High-Logic.com | ToniStudio"
"Autone.ttf","Autone","Copyright (c) 2023 by Khurasan. All rights reserved. | contact me at khurasantype@gmail.com | https://khurasanstudio.com/license/ | Khurasan"
"AwesomeBrush.ttf","Awesome Brush","www.nirmanavisual.com | www.nirmanavisual.com | www.nirmanavisual.com | Sigit Dwipa Raharjo"
"Backline-Marker-DEMO-VERSION-BF68996965553d8.otf","Backline Marker DEMO VERSION","This font was created using FontCreator 13.0 from High-Logic.com | ©Letterena Studios. All Rights Reserved | https://letterena.com/ | Heru Utama Putra"
"Badlands.otf","Badlands","Jason Ferry"
"Bajigur.otf","Bajigur_Demo","This font was created using FontCreator 12.0 from High-Logic.com | Wasito Utomo (ketapel creative)"
"Bhaltron-Regular-BF696afeca39250.otf","Bhaltron","This font was created using FontCreator 13.0 from High-Logic.com | ©StylishType.co. All Rights Reserved | https://StylishType.co/ | Heru Utama Putra"
"Black-Marker-BF68db62aa3e295.otf","Black Marker1",""
"BlakestoneDemoRegular-w1v22.otf","Blakestone DEMO Regular","Copyright (c) 2021 by Letterhend Studio. All rights reserved | Letterhend Studio"
"BlankidsC.ttf","American Brush Regular","www.blankidsfonts.com | www.blankidsfonts.com | Bangkit Tri Setiadi"
"BrothelsDemoRegular.ttf","Brothels Demo","Made with love in Indonesia - 2020 | PERSONAL License - Non Commercial | Email us hi@calligraphyfonts.net | Widiyanti & Sarah Suci P"
"Brush Renytha.ttf","Brush Renytha","This font was created using FontCreator 13.0 from High-Logic.com | ©Integritype Studio 2021. All Rights Reserved | integritypestudio@gmail.com | Nanang Jamaludin"
"Brushwell.otf","Brushwell","Copyright (c) 2019 by Hendra Pratama. All rights reserved. | Personal Use | Hendra Pratama"
"Chatamy-BF679b4e52887f2.otf","Chatamy","Copyright (c) 2024 by Gatype. All rights reserved. | Gatype"
"Cyber Brush.ttf","Cyber Brush","Burhan Afif"
"DomillionBrushFree.otf","Domillion Brush Free","for more info pleas chek this link https://ardyanatypes.com | Ardyanatypes Copyright 2019 | https://ardyanatypes.com/licence/ | Ardyanatypes"
"Esylon-Sparted-DEMO-VERSION-BF6882fd59abbdf.otf","Esylon Sparted DEMO VERSION","This font was created using FontCreator 13.0 from High-Logic.com | ©Letterena Studios. All Rights Reserved | https://letterena.com/ | Heru Utama Putra"
"Font Brush - Brush Font.otf","Font Brush","Copyright (c) 2020 by . All rights reserved."
"GoodHood.otf","Good Hood","Eduard Felegeanu"
"Handstand-BF65caf3a498a53.otf","Handstand","Copyright (c) 2020 by Fran studio . All rights reserved. | Fran studio"
"HaydonBrush_PERSONAL_USE.ttf","Haydon Brush PERSONAL USE","Copyright (c) 2016 by Mans Greback. All rights reserved. | PERSONAL USE ONLY! Please visit www.aringtypeface.com to get a commercial license. | http://www.aringtypeface.com | Mans Greback"
"HeighapsWastoneDemoVersion-ARO02.otf","Heighaps Wastone DEMO VERSION","This font was created using FontCreator 13.0 from High-Logic.com | ©Letterena Studios. All Rights Reserved | https://letterena.com/ | Heru Utama Putra"
"Horsemen (Demo Version).otf","Horsemen (Demo Version)","https://sellfy.com/thebrandedquotes"
